,user_loc,Mean_friendship,Median_friendship,Std_friendship,Total_friendship,Mean_SCI_with_Self,Median_SCI_with_Self,Std_SCI_with_Self,SCI,Mean_SCI_without_Self,Median_SCI_without_Self,Std_SCI_without_Self,Mean_dist_to_SCI_km,Median_dist_to_SCI_km,Std_dist_to_SCI_km,Total_dist_to_SCI_km,Ratio_selfloop_to_country,Ratio_selfloop_to_africa,Ratio_selfloop_to_all_sci,Average_distance_of_friendships_km,Ratio_SCI_low_hi_africa,Ratio_SCI_middle_hi_africa,Ratio_SCI_high_hi_africa
41,BEN4,14813.885714285714,664.5,148167.91181234553,10369720,1316.0026286143448,11.0,44029.42956014725,10513545,921.9134952428643,11.0,26418.486877020743,2957.9990256764822,3260.381322204639,1443.371589702793,2070599.3179735376,0.3374097924586399,0.3037015464255544,0.29954691780935927,333.1624272285294,0.9842510780141237,0.007893626745308076,0.0034137866913586234
42,BEN5,18413.602857142858,554.0,266876.2978169368,12889522,1632.4931781199148,11.0,79117.03606981917,13041988,774.6741362043065,11.0,19514.59427246641,2975.200869752368,3321.891750549582,1437.2312576266536,2082640.6088266575,0.5758955237989207,0.5317412856737433,0.525525019651912,241.8681574786494,0.9879661750953919,0.005569319646667364,0.0031050480954283965
43,BEN6,23180.998571428572,673.5,419025.1056090104,16226699,2058.8501689823506,11.0,124126.54301570937,16448154,686.7259639459189,11.0,19140.424371103592,3000.1780876093926,3331.3298268028407,1468.8871175796912,2100124.6613265746,0.7248348910299972,0.675589471401423,0.6664934557397748,233.96109051560722,0.9824915306605227,0.00876073995902519,0.0035713430212290084
44,BEN7,39739.41428571429,935.0,755619.9122864355,27817590,3514.2490925021907,18.0,223805.1639239653,28075336,1028.5226589884828,18.0,26946.656145892386,2998.0847150909563,3350.519502416941,1430.32478282928,2098659.3005636693,0.7560192227133722,0.7139186751979593,0.7073645351920276,157.27200285532626,0.9904177104060304,0.004548298193118686,0.002314095190169763
45,BEN8,8472.471428571429,836.5,53907.74183818289,5930730,785.3896607835774,29.0,16123.918521849677,6274478,729.3544066099149,29.0,15327.266553946774,2969.247880690204,3325.8699374578828,1398.924969671083,2078473.5164831427,0.09526831587790392,0.0756053639265318,0.0714633153546797,490.72052873279654,0.9389166716338794,0.026610181755358772,0.015165723746262239
46,BEN9,19677.304285714286,712.5,323364.9533906004,13774113,1755.615971961447,19.0,95817.22298482663,14025616,711.8934651977967,19.0,21866.17549765491,2997.856737837444,3362.1202229808027,1419.829974845108,2098499.716486211,0.6573924706706301,0.6054118330523353,0.5945557756607625,199.78138115710817,0.9803345535768269,0.009242018318482412,0.004980672506647837
47,BFA1,26527.704285714284,606.5,422018.6302026656,18569393,2341.5255976968333,8.0,125064.11392522408,18706448,963.6859038557836,8.0,21781.576496559257,3337.7100664988843,3371.1481706412724,1698.3709650056298,2336397.046549219,0.6375941352013889,0.5928317096848561,0.588488258166382,296.4173626489372,0.9916699845956859,0.0038015768680403675,0.002466208443206321
48,BFA10,24229.565714285713,531.5,399699.71433376346,16960696,2140.7034672674927,8.0,118435.03851631978,17102080,829.4104907361042,8.0,17026.29904663278,3283.736637409438,3239.970510177861,1671.1202964710394,2298615.6461866065,0.6741049043545312,0.6177074926642161,0.6126008649240327,294.6826648221996,0.9909601054374673,0.003777435259336876,0.002983964523613502
49,BFA11,34190.58142857143,713.5,599183.4652543894,23933407,3016.7566654149455,8.0,177510.3354016867,24100869,1046.8759389083625,8.0,22566.05949139842,3196.884691398289,3260.5468180099047,1618.252608359779,2237819.283978802,0.7064183320179052,0.6575922934833306,0.6530230922378774,192.86602262800255,0.9917173940906446,0.00424345694754824,0.002188676267233352
50,BFA12,48765.90285714286,720.5,996843.5674381342,34136132,4294.234197020904,8.0,295202.7872046105,34306637,999.2516274411618,8.0,20220.823454088473,3198.2509251702168,3093.686640392459,1616.341806039804,2238775.6476191515,0.8134600765414552,0.7711657255133652,0.7673330090617743,226.6666620355805,0.9939555719203838,0.0029375365472284563,0.0019937541531686712
51,BFA13,33194.28142857143,718.0,587415.0038473854,23235997,2935.5130804856676,9.0,174019.5975240885,23451814,1002.6721331997996,9.0,20903.985790817394,3293.634974415539,3473.1585469606343,1656.0704616666162,2305544.4820908774,0.717107167394301,0.6645924855301023,0.6584765255259145,282.422973057238,0.9925059102037906,0.003831814460066927,0.001891452831751096
52,BFA2,31594.245714285713,702.0,573840.6542619519,22115972,2787.843660032545,9.0,169985.04276742315,22272083,899.2284677015523,9.0,19981.529733037747,3378.3168765395867,3548.270824413823,1698.2753710536122,2364821.8135777107,0.7266431926973954,0.6822691763219813,0.6774869687761131,268.234262350127,0.9918806426861825,0.0038082652619424954,0.0022791312334818434
53,BFA3,21079.647142857142,717.5,282705.4748910635,14755753,1874.8957316309927,9.0,83840.31887157865,14978542,962.2259639459189,9.0,19356.646460556243,3129.887426230349,3246.924013789695,1571.938504605019,2190921.198361244,0.5904422324495745,0.49419917777154443,0.4868485197023849,379.88461739677064,0.9760537440827017,0.014731407102239991,0.0035530828033863374
54,BFA4,25801.374285714286,590.0,441509.8702808569,18060962,2277.0778570534485,7.0,130808.43148399646,18191575,826.8083375062594,7.0,17543.28759997378,3204.958542330105,3189.3781901563743,1623.6073435715361,2243470.9796310733,0.6945283273557019,0.6415510978872554,0.6369448494701531,246.94704657244102,0.9927852316250791,0.003524543641768236,0.002082172654099494
