"GID_1","member_community","trpar","trtax","trgov","trlaw","trgen","trrel","trnei","tracq","railway_contact","explorer_contact","district_ethnic_frac","loc_ln_export_area","distsea","mp_service"
"EGY23",0.17732607,0.843167040840829,0.927267804192073,0.92694031982406,1.75071925235758,0.329579618906623,2.34205441983179,1.88816495762115,1.68461101066726,0.20064826,0.39994198,0.52371758,1.31217,269.987265740641,1
"EGY25",0.016243014,0.633453598085355,1.51402556286023,0.93696040988317,2.69854785770147,0.0788491015034943,2.69165705906812,2.50396184516512,1.54084561310866,0.17235191,0.57158643,0.55195779,0,678.335922226631,1
"EGY27",0.19827062,0.598944049720674,0.679870955210521,0.371732288216817,2.11010327020761,0.0812319546135523,2.28767930452444,2.23243704681503,1.79455120172541,0.042770922,0.62078881,0.48275107,0.247813,535.436517532469,0.922578701770136
"EGY3",0.16622044,1.68310069758913,1.26546982840159,1.13183349017477,2.49027562751776,0.199995343714249,2.33853184775289,1.90864778421051,1.8213663576742,0.13508262,0.72009546,0.81072766,1.4395118,346.62758719777,1
"EGY5",0.10336263,0.879741146339154,1.08215191163166,0.501022959522052,2.44675393275787,0.0302542278607608,2.47940496761437,2.25646831912362,2.11688304310152,0.054609101,0.77468199,0.58361685,1.0792317,379.230649212427,1
"EGY6",0.0035228892,0.784815629931421,1.06229171519332,0.953149577433164,0.838908254860384,0.0557357865638411,1.71803155235375,1.25220342685189,0.774235600586556,0,1,0.30044335,0.112426,545.969711607663,1
"EGY7",0.10933656,0.9,1.57199031275774,1.15466828120704,1.90933656241409,0.645331718792956,2.57334140603522,2.50933656241409,1.81867312482818,0.31867313,0.67334139,0.78828782,1.4214592,308.794507636476,1
"EGY8",0.17378414,1.00512775641446,1.1478979713785,0.377667500747333,2.6154357085125,0.134740518444646,2.60095956253159,2.26647755281638,2.13997639753533,0.18367007,0.51418245,0.5620209,1.0582973,270.175842289246,0.809927691992458
"EGY9",0,0.117149085323646,0.728928973241533,0.674226740792991,1.38783860113621,0.0384153622776506,2.03445238630467,1.7596277478665,1.19293181564577,0.049152076,0.86888307,0.34202358,0.84010464,453.177716909519,0.70746222158487
"ESH4",0.55555558,1.33333333333333,1,1.33333333333333,1.77777777777778,0.333333333333333,2,2,2.11111111111111,NA,NA,NA,NA,NA,1
"GHA1",0.16448693,1.19516489946743,1.06475166082252,1.07495804215096,1.38527360347735,0.091875938712944,2.08043138489205,1.22327708030398,0.99983212840334,0.36131495,0.19399948,0.54945141,0.00078021013,384.769630159584,0.883637452178272
"GHA10",0.1730586,1.24721705711706,1.02339976795864,1.25225291825179,1.39072768422122,0.0949471416831947,1.99690319952152,1.61290852362928,1.40562148227628,0.67353439,0.0038392085,0.43940309,0.46078807,187.295239178365,0.878751888501753
"GHA2",0.21446668,1.44678831375773,1.33797814268873,1.40296860764196,1.6719814242836,0.110770832668444,2.24431115405736,1.61830573390119,1.37640423224935,0.032807365,0.013279081,0.49273464,1.4296395,110.857027009151,0.928490364771562
"GHA3",0.40496483,1.67076571332676,1.48019570229891,1.4143343862567,1.96048729318614,0.0574704197473375,2.34358420659519,1.86099347459548,1.47487102533661,0.10282908,0.095327012,0.09225934,0.0037501696,378.435603711933,1
"GHA4",0.25623751,1.36711944657506,1.18767758767425,1.30210948911766,1.76882403502146,0.033087314983583,1.93394404837856,1.34638620957332,1.18498516420514,0.014963672,0.0042139632,0.19025236,1.6247733,82.5039595293526,0.972856921159252
"GHA5",0.24692163,1.59846061261967,1.30495276898137,1.30869945366239,1.64718830640188,0.116114512755932,2.16172989715189,1.35262334726665,1.00980727429058,0.69270825,0,0.084584571,0.98679322,192.011653342096,1
"GHA6",0.34240782,1.89916000238635,1.89575455160632,1.7320135898983,2.12461526230506,0.265808681051674,2.72815083288214,2.31099500491531,2.00905519148428,0.93086958,0.87132734,0.22241965,0.47288945,674.939070970033,0.878908279928565
"GHA7",0.30999842,1.4731332519975,1.48081607543762,1.53307049495878,1.62055307198743,0.199788301655977,2.6608218651964,2.21103448629763,1.84013328571749,0.94474995,0.93727273,0.12178751,0.45981798,709.171481655475,1
"GHA8",0.38845101,2.01311564527091,1.9157029205233,1.90602732010359,2.53072576126972,0.044130284991911,2.74249934310555,2.40423758337799,1.33281376427132,1,0.9829073,0.029329548,0.56801891,714.786973564356,0.865744485095031
"GHA9",0.50090015,1.51384143682139,1.0868524103624,1.40639328990864,1.50503120187749,0.128833231431806,1.79080577436551,1.41728750412377,1.36748254912813,0.23021217,0.1122101,0.31906393,0.0025425551,348.761888230417,0.887000121064889
"GIN1",0.72064644,1.75798485156261,1.31936374744419,1.84563703763068,1.40857806386089,0.213332835046478,2.96964722589988,2.39730924069123,2.14133812952272,0.27289039,0.24407566,0.38396534,0.51880056,321.445247917202,0.642730440502999
"GIN2",0.39934185,1.27206069987943,1.11825040640174,1.2862652410358,1.37546075349689,0.145342969802403,2.84958502369004,2.07545950408115,1.73506021212629,0.25892416,0.38318512,0.36940575,0.21868828,530.175537405058,1
"GIN3",0.65811574,1.93151502778747,1.46862648525699,1.82235619934143,1.81866257018902,0.253333922454457,2.90349423994137,2.26135035981162,1.56562711748324,0.93498003,0.015623223,0.61752886,0.15074711,54.9385611718175,0.791785639432162
"GIN5",0.77807838,1.88708621775076,1.49327790733355,2.04737642389354,1.43617255884299,0.348681251060231,2.92514019191818,2.54033780429981,2.27289396145822,0.79210371,0.23291887,0.28573507,0.97913289,382.621265095039,0.413866859853882
"GIN6",0.72366583,1.23902845571737,0.73977635703366,1.34461949074393,0.701559829791319,0.116722945729258,2.90114368372461,2.47462906185101,2.15815407214939,1,0.014783442,0.19312041,0.0059204078,95.5283716854824,0.887687734616318
"GIN7",0.735879,1.30213021482162,1.23901593257252,1.8462934952638,1.12286027996709,0.284008946195411,2.88027780396142,2.43977733718271,2.05726582394747,0.33399868,0.36452812,0.19776314,1.316274,380.432774382216,0.918588186425958
"GIN8",0.64065653,1.67441094451829,1.2380371618255,1.71675291896532,1.71840234818088,0.251171726930521,2.72470535932823,1.81094213534386,1.02825961604022,1,0.091877893,0.56760287,0.00063359231,269.244907546825,0.674143972403309
