,GID_1,HDI
634,GNQ5,0.533
636,GNQ7,0.533
668,GAB9,0.533
53,CMR9,0.613
465,NGA1,0.613
467,NGA3,0.613
471,NGA7,0.613
473,NGA9,0.613
475,NGA11,0.613
53,CMR9,0.604
471,NGA7,0.604
473,NGA9,0.604
475,NGA11,0.604
478,NGA14,0.604
487,NGA23,0.604
490,NGA26,0.604
499,NGA35,0.604
54,COG1,0.448
55,COG2,0.448
59,COG6,0.448
62,COG9,0.448
64,COG11,0.448
711,COD10,0.448
712,COD11,0.448
717,COD16,0.448
54,COG1,0.495
59,COG6,0.495
61,COG8,0.495
64,COG11,0.495
712,COD11,0.495
54,COG1,0.465
59,COG6,0.465
61,COG8,0.465
62,COG9,0.465
64,COG11,0.465
661,GAB2,0.465
55,COG2,0.578
64,COG11,0.578
711,COD10,0.578
712,COD11,0.578
713,COD12,0.578
714,COD13,0.578
717,COD16,0.578
55,COG2,0.623
64,COG11,0.623
711,COD10,0.623
56,COG4,0.506
59,COG6,0.506
62,COG9,0.506
64,COG11,0.506
661,GAB2,0.506
703,COD2,0.506
717,COD16,0.506
56,COG4,0.542
57,COG3,0.542
60,COG7,0.542
62,COG9,0.542
65,COG12,0.542
661,GAB2,0.542
703,COD2,0.542
56,COG4,0.489
60,COG7,0.489
65,COG12,0.489
703,COD2,0.489
724,COD23,0.489
748,CAF7,0.489
757,CAF16,0.489
56,COG4,0.686
57,COG3,0.686
59,COG6,0.686
61,COG8,0.686
62,COG9,0.686
661,GAB2,0.686
665,GAB6,0.686
666,GAB7,0.686
56,COG4,0.475
57,COG3,0.475
65,COG12,0.475
661,GAB2,0.475
665,GAB6,0.475
56,COG4,0.454
60,COG7,0.454
62,COG9,0.454
702,COD1,0.454
703,COD2,0.454
708,COD9,0.454
717,COD16,0.454
719,COD18,0.454
721,COD20,0.454
722,COD21,0.454
724,COD23,0.454
726,COD25,0.454
727,COD26,0.454
743,CAF2,0.454
744,CAF3,0.454
747,CAF6,0.454
748,CAF7,0.454
750,CAF9,0.454
753,CAF12,0.454
754,CAF13,0.454
57,COG3,0.598
65,COG12,0.598
661,GAB2,0.598
662,GAB3,0.598
663,GAB4,0.598
665,GAB6,0.598
666,GAB7,0.598
668,GAB9,0.598
58,COG5,0.614
63,COG10,0.614
58,COG5,0.64
61,COG8,0.64
663,GAB4,0.64
664,GAB5,0.64
667,GAB8,0.64
60,COG7,0.401
721,COD20,0.401
724,COD23,0.401
742,CAF1,0.401
743,CAF2,0.401
747,CAF6,0.401
748,CAF7,0.401
749,CAF8,0.401
751,CAF10,0.401
752,CAF11,0.401
753,CAF12,0.401
754,CAF13,0.401
755,CAF15,0.401
756,CAF14,0.401
757,CAF16,0.401
61,COG8,0.622
662,GAB3,0.622
663,GAB4,0.622
664,GAB5,0.622
666,GAB7,0.622
667,GAB8,0.622
61,COG8,0.634
661,GAB2,0.634
663,GAB4,0.634
665,GAB6,0.634
666,GAB7,0.634
66,COM,0.54
67,COM,0.576
68,COM,0.556
72,CPV,0.668
81,CPV,0.668
84,CPV,0.668
73,CPV,0.643
74,CPV,0.643
77,CPV,0.643
75,CPV,0.698
78,CPV,0.698
83,CPV,0.698
75,CPV,0.605
78,CPV,0.605
80,CPV,0.605
82,CPV,0.605
83,CPV,0.605
85,CPV,0.605
86,CPV,0.605
87,CPV,0.605
89,CPV,0.605
88,CPV,0.686
91,DZA1,0.389
131,DZA41,0.389
502,NER1,0.389
507,NER6,0.389
508,NER7,0.389
560,MLI2,0.389
562,MLI4,0.389
567,MLI9,0.389
786,BFA12,0.389
91,DZA1,0.737
96,DZA6,0.737
97,DZA7,0.737
99,DZA9,0.737
106,DZA16,0.737
107,DZA17,0.737
108,DZA18,0.737
110,DZA20,0.737
112,DZA22,0.737
114,DZA24,0.737
115,DZA25,0.737
116,DZA26,0.737
121,DZA31,0.737
123,DZA33,0.737
131,DZA41,0.737
132,DZA42,0.737
134,DZA44,0.737
361,TUN10,0.737
372,TUN21,0.737
373,TUN22,0.737
502,NER1,0.737
546,MRT12,0.737
562,MLI4,0.737
567,MLI9,0.737
573,MAR6,0.737
576,MAR9,0.737
577,MAR10,0.737
579,MAR12,0.737
606,LBY14,0.737
608,LBY16,0.737
609,LBY17,0.737
614,LBY22,0.737
91,DZA1,0.729
92,DZA2,0.729
97,DZA7,0.729
104,DZA14,0.729
106,DZA16,0.729
107,DZA17,0.729
110,DZA20,0.729
115,DZA25,0.729
117,DZA27,0.729
118,DZA28,0.729
121,DZA31,0.729
125,DZA35,0.729
126,DZA36,0.729
128,DZA38,0.729
133,DZA43,0.729
136,DZA46,0.729
138,DZA48,0.729
577,MAR10,0.729
91,DZA1,0.331
535,MRT1,0.331
541,MRT7,0.331
546,MRT12,0.331
560,MLI2,0.331
562,MLI4,0.331
564,MLI6,0.331
565,MLI7,0.331
567,MLI9,0.331
786,BFA12,0.331
91,DZA1,0.713
134,DZA44,0.713
535,MRT1,0.713
546,MRT12,0.713
567,MLI9,0.713
92,DZA2,0.767
94,DZA4,0.767
98,DZA8,0.767
100,DZA10,0.767
101,DZA11,0.767
102,DZA12,0.767
103,DZA13,0.767
104,DZA14,0.767
106,DZA16,0.767
116,DZA26,0.767
118,DZA28,0.767
120,DZA30,0.767
125,DZA35,0.767
135,DZA45,0.767
136,DZA46,0.767
137,DZA47,0.767
93,DZA3,0.737
104,DZA14,0.737
107,DZA17,0.737
117,DZA27,0.737
120,DZA30,0.737
121,DZA31,0.737
122,DZA32,0.737
125,DZA35,0.737
126,DZA36,0.737
128,DZA38,0.737
133,DZA43,0.737
136,DZA46,0.737
138,DZA48,0.737
577,MAR10,0.737
95,DZA5,0.741
96,DZA6,0.741
98,DZA8,0.741
105,DZA15,0.741
109,DZA19,0.741
111,DZA21,0.741
113,DZA23,0.741
119,DZA29,0.741
124,DZA34,0.741
127,DZA37,0.741
129,DZA39,0.741
