,GID_1,Mean_of_Night_Light,Std_of_Night_Light,Mean_distance_to_major_rd,Std_distance_to_major_rd,Mean_built_settlement_growth,Std_built_settlement_growth
495,NGA19,0.18770824774341116,0.26933857602256245,4.427859741489933,1.1172726948565348,239.85113198237644,42.016907999227335
496,NGA20,0.3132747935839345,0.18717695632177722,1.4712739689662235,0.2559071497859703,239.8171401116078,28.597379380946748
497,NGA21,0.09620856303151239,0.06528927666993269,2.3327224508256226,0.4290766241633722,239.8579862891494,31.06623844004432
498,NGA22,0.06924115694094742,0.040821523766902595,5.152216245253635,1.057727876116101,239.9098761627926,38.05925642703639
499,NGA23,0.07284053708210862,0.04476179968013151,4.245133776926228,0.8167511419399192,239.90061224638103,34.02834451623843
500,NGA24,0.0767650828115196,0.04257595475346667,4.924651430691239,1.0701439684604914,239.92091318304284,37.61594092389739
501,NGA25,2.912966720178177,0.31481903781553533,2.6250844047585367,0.19404950926140777,239.772766767112,12.38366200105304
502,NGA26,0.10086538647971761,0.0478043729235887,3.9809365725213355,0.6962496222000389,239.93682267434448,32.51581365394731
503,NGA27,0.09791818510820545,0.07216007481760046,5.222042517248777,1.5518027453087513,239.87300077611914,52.634491114617376
504,NGA28,0.2999586658706048,0.10641248843041644,5.32377708665124,0.7622392867112907,239.82899193669036,25.46732976171394
505,NGA29,0.0691136548462845,0.022003260080854462,8.085977343364126,1.1164435967277724,239.91813000865395,24.21109162631736
506,NGA30,0.17063355581538592,0.03752314840719376,1.8634083432540065,0.21482367133009833,239.88200408239103,19.302995599917608
507,NGA31,0.09746825712616966,0.05634258042676451,6.3857734868355385,1.233448586459951,239.85857931865084,33.14220045796773
508,NGA32,0.1503574607191861,0.0671625959753424,5.6300385883970465,1.2384554238810088,239.93046418081622,33.29631842083599
509,NGA33,5.142093612801459,4.434618997847572,5.894738994206606,0.8052004001211531,239.8018561853771,18.555908153751506
510,NGA34,0.05859300493332258,0.04543940549263127,6.445438297525568,1.2909963077607893,239.9080575507645,35.89010665854376
511,NGA35,0.09301383755308239,0.047925601426947094,9.612477613266122,2.543683290651167,239.9626373850085,48.46270894527177
512,NGA36,0.026729233722711992,0.02363829091173885,10.566214076243039,2.496515411578288,239.9582252591078,42.72560192298846
513,NGA37,0.12961769743310597,0.0772094278779868,6.192465983194426,1.2771080861928532,239.9205066586058,37.327223010674516
514,NER1,0.03555355033404868,0.037854985057035107,112.71875785077009,68.14835432257296,239.99209442187276,108.53474995500318
515,NER2,0.04305116656341992,0.23509561033956847,69.52384905473154,22.5937688998848,239.994552436535,59.554029422389
516,NER3,0.019079779359297284,0.010452628102426939,6.664729733167974,1.0356435154892116,239.98454526577152,28.211281129718465
517,NER4,0.022869827981935768,0.023505292898643747,9.025830695839167,1.6355739621507162,239.9681232174549,31.54269310730455
518,NER5,3.9253169100942733,0.09010868107368351,1.8925862569808825,0.038901041498037164,239.98839139529505,3.203015087082789
519,NER6,0.025411903272931365,0.01422070542744076,59.51736928267103,17.78682746868457,239.97062719785143,51.265208075502905
520,NER7,0.022366694959085057,0.024721230390853596,9.547543819663945,2.6269189881236787,239.9863459810179,47.31168024725106
521,NER8,0.027301600882050327,0.04109924367312804,72.96648582998773,24.7246387536768,239.9606418754679,59.34347460408441
522,NAM1,0.029237482182315203,0.09464764821639227,11.860544623455715,5.905059309453174,239.98596659416845,68.749541738341
523,NAM2,0.1394800338160782,0.14361865310369737,7.331196874966431,1.8100618459532316,239.9889407639068,43.66051525167885
524,NAM3,0.04222332974154729,0.0364634533343437,11.077722426036207,4.635609934348784,239.98880544374254,57.07803932182169
525,NAM4,0.24882909811807377,0.06949846808708067,15.786090977143324,3.178658459695299,239.9105352758065,37.92312942916529
526,NAM5,1.2168901982016285,0.19811983791114243,4.729543036865121,0.8371658028427503,239.9842427012726,33.6762504381773
527,NAM6,0.039639146468702334,0.02636348562551714,14.905124957428853,5.298820497150619,239.99251198422013,57.43200283806901
528,NAM7,0.13417025443229122,0.027501683551033346,7.687838482499269,0.7252341113135585,239.99568407918855,17.877376794388315
529,NAM8,0.34780500802959596,0.05585328377521502,8.727132008708365,2.6512225384417216,239.99544208277683,50.06728272370172
530,NAM9,0.08702994278265563,0.028235934628398428,18.725071723678578,3.043463306739221,239.99543479008972,28.193346365187416
531,NAM10,0.4580404191228112,0.09994512007210836,20.577762790697875,1.7501663160681333,239.9934568713209,16.163073943345925
532,NAM11,0.23033038667019423,0.062162486930338136,14.571763503577742,2.702816609910683,239.99024300627585,33.896364094700374
533,NAM12,0.41255365218213647,0.08222474918111893,9.672355969649399,3.879983025703776,239.98888432133833,55.05112262729552
534,NAM13,0.25497474412557447,0.06841852773289096,7.467050985737697,0.8099460070150682,239.9964951456305,20.754506600096665
535,MUS1,,0.0,637.481814383831,3.4828340790833954,239.99998587384624,1.3111531395705096
536,MUS2,,0.0,1.2490424363959005,0.0292580010610443,239.99079450531926,4.281922462534298
537,MUS3,,0.0,0.6819684158385965,0.01590501108564721,239.9924237179292,4.5906960166385264
538,MUS4,,0.0,0.890664377324177,0.020569671957027684,239.99456941079782,4.27239944990402
539,MUS5,,0.0,0.7383205857852043,0.01551011057696122,239.99446594169666,4.088649459712526
540,MUS6,,0.0,0.4008499558124633,0.0069171224670374586,239.98945559601293,3.5900075258204707
541,MUS7,,0.0,0.82765460923179,0.018034632761757898,239.9811295802563,3.7573952305329943
542,MUS8,,0.0,1.060382250601488,0.008886394659594236,239.99441076619775,1.7039224521989356
543,MUS9,,0.0,1.2258412978733733,0.050178703892246636,239.99147143562752,3.319639221687862
544,MUS10,,0.0,0.5107032631615978,0.008440038138723125,239.99964209881108,2.8313549798846767
545,MUS11,,0.0,429.8067334903184,1.2353507110528084,240.0,0.6891330851113349
546,MUS12,,0.0,1.0671900115615363,0.023032161802980483,239.99622970311967,4.171593242288918
547,MRT1,0.061718146995242765,0.024146080440650662,175.67209620788194,72.04236630902115,239.99770652287646,79.47353741460984
548,MRT2,0.038354027899782046,0.018253727489083386,37.424284919383354,6.268352141132937,239.99620867754024,33.377483094385184
549,MRT3,0.040349001921778045,0.008791316966666537,27.385272667768312,4.585730293839203,239.99574549887333,32.144024886364036
550,MRT4,0.09516458903613961,0.07083858366734035,27.41109776740579,3.3230270233793227,239.99722295691984,23.70820671723398
551,MRT5,0.029848449622349008,0.004672595179374473,17.76141588976214,1.9120690909676152,239.99702304546233,20.77927896292584
552,MRT6,0.02896077495804704,0.004949187546064628,18.2483509921959,1.5931205992986728,239.99628440553363,18.29219465285779
553,MRT7,0.0595737502767571,0.020011699678911685,145.85693132702926,60.38512829047217,239.99642307683678,73.1089231821133
554,MRT8,0.0433223619464985,0.011785723571814306,43.76172908203787,8.735272572719985,239.9958652213647,39.34879284865616
555,MRT9,0.0653249304062857,0.04384892182374384,46.243879707331764,8.568064973972753,239.99837366753707,37.51657384085209
556,MRT10,1.8496227514215728,0.15702727145374765,4.125153922706404,0.1534785288219489,239.98407165839564,6.911672801825377
557,MRT11,0.061582842961919515,0.014502447931902095,131.14984833594107,34.449664962078856,239.99353685101616,53.64430079935345
558,MRT12,0.06864369099645527,0.052330385557973896,102.3910409070434,46.92438003431517,239.99818985862044,85.8988581659525
559,MRT13,0.05291815326408413,0.021301210218952506,43.20603416227798,11.325273759392593,239.99398970289434,45.909320447763385
560,MOZ1,0.11052408135616286,0.05448603109252977,10.825228335870674,2.9418872248903907,239.95985814860094,45.37932540437491
561,MOZ2,0.2257236984011701,0.04633737555383422,13.34083733341941,3.493246294292243,239.96995121358378,46.030770498797864
562,MOZ3,0.20339533761683642,0.06237268032979137,10.373603856143236,2.4535871210848628,239.9856073024324,43.92465836244493
563,MOZ4,0.12417320559885114,0.05312287234352414,10.658172882909723,2.3763072745174,239.98991303965232,41.46829240986067
564,MOZ5,8.608267632500871,0.2604904291560677,1.8090665719467909,0.04938800264113351,239.96181087364624,4.562124685652949
565,MOZ6,0.30437714039143354,0.10396074199891432,7.473295074310587,1.0131381855306905,239.97059385334347,25.864120511452906
566,MOZ7,0.155211015110054,0.12442109633650891,7.807890505780885,1.8899927217912482,239.9469662090301,45.715484939959815
567,MOZ8,0.1086393807314923,0.08862279587554342,15.968904696320319,4.898448476535066,239.9874839407885,57.681558341763036
568,MOZ9,0.332136285690973,0.1256793871049682,10.7286461532092,2.69440375969989,239.9843388887563,43.21616396220123
569,MOZ10,0.18408557807134762,0.1109687938766983,12.377622497321408,3.4329027311123435,239.9761013583964,51.67998966165752
570,MOZ11,0.09596624040528792,0.07838558649448489,10.483878121289774,2.9708461781820983,239.98650270947283,52.345253598073114
571,MLI1,11.433828204819298,0.1256320333335163,0.47866696250890517,0.00587139285075977,239.98621105631997,2.180703610545813
572,MLI2,0.029632335387863452,0.01511846729157786,47.65309685009461,16.169852497837734,239.99740891966965,57.413625431240455
573,MLI3,0.12331846421069599,0.1877480561420129,10.463158564333552,2.8837133467111067,239.97870400050516,47.93899391603257
574,MLI4,0.03424510767400078,0.008507130324119644,74.3162955905708,20.685385249407855,239.99942812758823,52.83123275199503
575,MLI5,0.09808385232701793,0.10108967524017606,10.429994490787543,2.8815041724716517,239.9623311175139,41.60810491164953
576,MLI6,0.03583996157250397,0.0884484209267723,16.550113833811974,3.5871800025470186,239.98874240975428,39.08886896435111
577,MLI7,0.03873308124867023,0.0354042246458636,9.39179599853808,1.928085265640651,239.97402375752242,34.42832623683695
578,MLI8,0.0581769613698791,0.04032449005073661,5.478791134740246,1.0805068600516932,239.97422073667425,36.85723199261885
579,MLI9,0.05423089514794346,0.02655621394625369,187.24934398469753,88.70808769085691,239.99561832331398,91.73233441937542
580,MAR1,0.8834919162243428,0.5060103541377472,1.8139331975547166,0.3026460875233378,239.93095035533202,30.01742787456474
581,MAR2,0.7034363437291588,0.4575669405302479,1.837126376953371,0.28612660884901336,239.9359223198634,27.96112297206714
582,MAR3,0.5322812146863062,0.5301504980716366,5.221495383764186,1.0001730326943254,239.95788535961634,32.467750115144874
583,MAR4,0.9366715444430206,0.4344461707883984,1.373747958912619,0.1641726957513037,239.93819754395037,22.108334889657414
584,MAR5,21.203564874052987,0.9530693924537174,0.5200389769702162,0.019146809210849467,239.91466285510248,6.971196234339624
585,MAR6,0.11628589501597138,0.18896374573342545,13.555028267731712,4.294400191123108,239.9680022844981,56.69573514900948
586,MAR7,0.13299205330600283,0.03934155965921248,9.831506315560013,0.8861130823626538,239.99966611928969,17.32276431550831
587,MAR8,0.5940653380652006,0.6778182059412597,3.2180987547061553,0.7588424146776261,239.84606765674621,41.362716051363776
588,MAR9,0.2517526971894122,0.4633960828505273,8.039826641805414,2.8137238428097473,239.88774668946618,55.710225480369346
589,MAR10,0.41502856934019017,0.8146514212204383,8.252904458646345,2.6520882293637107,239.90267982823386,55.95677760688671
590,MAR11,1.514905017622432,0.7508710244105834,2.265552437877563,0.29056803783104496,239.9476212099241,23.520151806939488
591,MAR12,0.2695657976644711,0.5761318524151892,6.682474984869695,2.540601361377608,239.75446621961459,60.18306957069455
592,MAR13,0.5347152797877474,0.3761584712726406,3.3703089576692284,0.5563534822246485,239.95189749300093,28.99897197632048
593,MAR14,1.6664471387107853,1.010642285423068,2.3819114061715423,0.32470051105000797,239.92294349560774,25.74182826255032
594,MAR15,0.4150274067724474,0.4057757080703884,2.7318963637884153,0.506077568881412,239.94835113589525,34.48960871407408
595,LSO1,0.16890709319887282,0.12700960393981042,2.8137278142130335,0.8171224839764022,239.7750626430447,44.675278971470995
596,LSO2,0.08015888777400475,0.08054689477455902,3.3437402700853305,0.740250398605847,239.94584326891118,42.42804927048455
597,LSO3,0.13542523372055143,0.10133372948177684,2.5851141072984194,0.7450713567085556,239.77675811398703,52.59080627928741
598,LSO4,0.0653440698434609,0.07063248177233847,2.4299296504064536,0.7936382213155448,239.82117434016442,51.06405923976153
599,LSO5,0.31032357304491875,0.3548431027337815,2.9463589929513003,0.9968124570057816,239.4874776559641,60.51560735770818
600,LSO6,0.04835189671411191,0.0660807521774336,3.434411284460379,1.1247745441284143,239.94216856646491,57.77933795958058
601,LSO7,0.04926878003589911,0.08419726214026217,5.098998048106027,1.7192962580305178,239.9605073913419,62.980408528586416
602,LSO8,0.030978981295344495,0.02646185488609803,3.4177696742376455,0.8565462682405388,239.98407886273105,46.26853456494407
